added_at,artist,name,id,meta
,,,,"{""name"": ""HVAC001""}"
2021-01-15T09:07:41Z,Chief Kaya,Mount Zion,,
2021-01-15T09:07:41Z,Six Chakra,Jester,,
2021-01-15T09:07:41Z,Cogo & Substrada,Sibra,,
2021-01-15T09:07:41Z,Teffa,Amp,,
2021-01-15T09:07:41Z,Bozety,Marijuana,,
2021-01-15T09:07:41Z,Mastuh,Listen,,
2021-01-15T09:07:41Z,Fab.,Nose Bleed,,
2021-01-15T09:07:41Z,Mikrodot,Chase The Devil,,
2021-01-15T09:07:41Z,Morning High,Ancient System,,
2021-01-15T09:07:41Z,Braxx & D3xtr,Intelligent Design,,
2021-01-15T09:07:41Z,H.F.O,Citalo,,
2021-01-15T09:07:41Z,Beatsforbeaches,Northwest Dub,,
2021-01-15T09:07:41Z,Ēpoc,Soundboy,,
